"Demographic data (total population, age groups and race/ethnicity) by census tract were extracted from the 2019 American Community Survey.",,,,,,,,,,,,,,
Census Tract,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,California County,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
6001402700,38.87,73.30,70-75%,Alameda ,1890,9.68,82.65,7.67,20.58,23.23,42.28,0.63,10.85,2.43
6001402800,41.72,77.66,75-80%,Alameda ,4480,5.58,75.27,19.15,6.27,28.19,38.08,0.58,18.57,8.3
6001402900,36.39,69.74,65-70%,Alameda ,1406,0.43,71.41,28.17,17.64,21.55,17.14,0.21,37.55,5.9
6001403000,53.41,91.24,90-95%,Alameda ,2905,4.68,55.83,39.48,2.27,6.51,4.37,0.34,83.93,2.58
6001403100,35.96,69.10,65-70%,Alameda ,2101,5.19,82.67,12.14,13.04,27.84,17.66,0.29,38.41,2.76
6001403300,45.88,83.06,80-85%,Alameda ,4178,3.52,75.78,20.7,6.03,26.16,7.47,2.39,52.23,5.72
6001403400,29.43,57.67,55-60%,Alameda ,4340,4.26,74.65,21.08,8.18,39.54,19.15,0.44,26.8,5.9
6001403501,25.31,49.48,45-50%,Alameda ,4492,7.59,74.93,17.48,12.27,37.47,23.89,0.53,19.46,6.39
6001403502,19.87,37.22,35-40%,Alameda ,2044,3.38,83.46,13.16,11.94,42.03,25.44,0,11.11,9.49
6001403600,25.58,50.05,50-55%,Alameda ,5570,9.41,80.48,10.11,13.91,29.34,41.24,0.23,9.37,5.91
6001403701,14.10,23.29,20-25%,Alameda ,2968,4.14,77.29,18.56,12.2,43.03,26.75,0,12.6,5.42
6001403702,14.98,25.53,25-30%,Alameda ,1930,5.54,77.67,16.79,9.79,51.92,15.03,0,17.67,5.6
6001403800,11.72,17.13,15-20%,Alameda ,3351,7.67,78.96,13.37,3.58,67.74,12.98,0,11.82,3.88
6001403900,16.00,27.82,25-30%,Alameda ,4051,6.74,77.09,16.17,7.43,57.29,13.55,0.22,16.17,5.33
6001404000,8.89,10.46,10-15%,Alameda ,2895,5.94,82.28,11.78,16.41,55.2,7.25,1,12.64,7.5
6001404101,9.35,11.28,10-15%,Alameda ,3017,3.81,79.52,16.67,7.03,62.18,7.86,0.36,12.6,9.98
6001404102,12.92,20.35,20-25%,Alameda ,2653,4.98,62.16,32.87,9.88,66.49,4.71,1.36,12.77,4.79
6001404200,7.30,7.34,5-10%,Alameda ,3877,13.95,68.22,17.82,5.6,61.75,6.32,0.21,19.83,6.29
6001404300,3.82,1.24,1-5% (lowest scores),Alameda ,3443,13.19,66.8,20.01,12,65.29,1.66,0,13.56,7.49
6001404400,4.57,2.36,1-5% (lowest scores),Alameda ,5628,10.41,70.52,19.07,5.31,67,2.33,0.32,12.95,12.08
6001404501,4.59,2.38,1-5% (lowest scores),Alameda ,1809,14.7,64.29,21.01,6.69,66.39,6.74,0,12.05,8.13
6001404502,6.27,5.28,5-10%,Alameda ,5891,15.02,67.24,17.74,7.62,75.51,1.14,0,10.19,5.55
6001404600,4.69,2.52,1-5% (lowest scores),Alameda ,4625,9.84,65.92,24.24,4.82,69.69,3.85,0.17,15.35,6.12
6001404700,4.70,2.53,1-5% (lowest scores),Alameda ,2137,13.29,67.52,19.19,9.45,69.58,5.99,0,11.65,3.32
6001404800,14.33,23.88,20-25%,Alameda ,2647,8.16,75.82,16.02,14.43,49.38,15.98,0.42,11.07,8.73
6001404900,15.34,26.30,25-30%,Alameda ,4197,13.53,66.9,19.56,11.84,56.09,9.6,0.67,16.11,5.69
6001405000,7.42,7.49,5-10%,Alameda ,3394,12.93,67.21,19.86,7.4,61.58,11.73,0,10.99,8.31
6001405100,6.28,5.30,5-10%,Alameda ,4285,11.23,67.82,20.96,3.43,65.02,13.56,0,10.15,7.84
6001405200,21.97,42.10,40-45%,Alameda ,5183,7.1,78.45,14.45,15.84,38.26,8.99,0.29,32.03,4.59
6001405301,21.69,41.50,40-45%,Alameda ,2954,8.56,79.49,11.95,18.28,52.64,11.48,0,10.73,6.87
6001405302,30.21,59.11,55-60%,Alameda ,2373,5.82,75.94,18.25,8.09,30.76,12.81,0.34,42.31,5.69
6001405401,33.36,64.69,60-65%,Alameda ,3648,8.77,79.96,11.27,22.59,20.53,16.23,0,35.01,5.65
6001405402,36.47,69.83,65-70%,Alameda ,3357,11.77,80.91,7.33,21.06,17.25,25.8,0.24,30.98,4.68
6001405500,28.35,55.56,55-60%,Alameda ,3880,9.33,76.13,14.54,9.28,21.42,22.42,0.7,42.53,3.66
6001405600,24.82,48.36,45-50%,Alameda ,3269,7.46,82.56,9.97,24.23,26.49,17.99,2.23,22.24,6.82
6001405700,30.13,58.99,55-60%,Alameda ,3531,6.8,84.62,8.58,13.65,14.39,21.16,0.48,46.02,4.3
6001405800,28.80,56.56,55-60%,Alameda ,4370,11.33,77.46,11.21,17.05,15.01,21.6,1.3,43.38,1.65
6001405901,39.68,74.46,70-75%,Alameda ,4426,15.02,75.98,8.99,41.3,3.68,14.19,1.06,37.4,2.37
6001405902,41.25,77.00,75-80%,Alameda ,2942,10.27,76.44,13.29,25.12,8.77,11.96,0.48,49.39,4.28
6001406000,50.20,88.09,85-90%,Alameda ,3796,5.45,80.01,14.54,23.6,18.49,13.83,0,41.97,2.11
6001406100,56.86,93.85,90-95%,Alameda ,4733,10.61,77.94,11.45,57.24,14.85,8.92,0,18,0.99
6001406201,45.57,82.68,80-85%,Alameda ,4995,15.98,77.88,6.15,41.46,5.29,21.14,0.16,28.87,3.08
6001406202,42.01,78.09,75-80%,Alameda ,4817,15.8,74.82,9.38,59.89,9.51,14.2,2.1,12.52,1.79
6001406300,31.11,60.87,60-65%,Alameda ,4383,15.08,76.75,8.17,33.77,12.62,26.49,0.43,24.21,2.49
6001406400,30.25,59.18,55-60%,Alameda ,2545,13.95,63.85,22.2,21.45,31.47,20.67,0.2,19.61,6.6
6001406500,36.37,69.70,65-70%,Alameda ,6586,13.45,77.24,9.31,50.47,11.69,16.47,0,16.82,4.54
6001406601,27.03,53.09,50-55%,Alameda ,4955,13.3,76.83,9.87,35.6,14.89,20.02,0.16,21.98,7.35
6001406602,26.06,51.07,50-55%,Alameda ,2698,12.12,75.76,12.12,28.28,12.6,16.42,1.56,36.25,4.89
6001406700,10.22,13.54,10-15%,Alameda ,5159,9.79,67.59,22.62,13.82,45.13,14.5,0.66,20.53,5.37
6001406800,13.00,20.54,20-25%,Alameda ,3611,14.07,68.85,17.09,25.31,33.12,11.16,0.44,21.07,8.89
6001406900,20.48,38.72,35-40%,Alameda ,3608,11.83,70.57,17.6,10.2,47.03,18.57,0.42,16.77,7.01
6001407000,29.70,58.14,55-60%,Alameda ,5869,12.57,73.33,14.09,29.95,13.12,21.03,1.16,24.76,9.98
6001407101,30.25,59.17,55-60%,Alameda ,3821,14.81,75.61,9.58,54.23,4.92,13.98,0.21,25.02,1.65
6001407102,35.42,68.27,65-70%,Alameda ,4387,17.39,72.83,9.78,44.54,9.92,26.05,0.39,13.93,5.17
6001407200,48.46,86.11,85-90%,Alameda ,6985,11.71,79.3,8.99,64.98,9.55,8.45,0.21,13.9,2.91
6001407300,65.03,97.84,95-100% (highest scores),Alameda ,2420,6.28,87.48,6.24,63.72,11.82,10.99,0.12,10.25,3.1
6001407400,45.38,82.36,80-85%,Alameda ,4531,16.29,75.86,7.86,70.12,1.77,18.16,0,7.46,2.49
6001407500,45.45,82.50,80-85%,Alameda ,4299,13.63,77.62,8.75,55.04,4.16,29.01,0.09,6.59,5.12
6001407600,31.10,60.83,60-65%,Alameda ,6327,11.27,80.09,8.65,32.01,16.75,39.07,0,8.31,3.86
6001407700,15.74,27.22,25-30%,Alameda ,4122,11.67,71.98,16.35,16.21,30.01,42.94,0,5.41,5.43
6001407800,17.96,32.59,30-35%,Alameda ,2728,9.68,79.44,10.89,19.83,31.16,23.64,0,20.27,5.1
6001407900,14.34,23.92,20-25%,Alameda ,2873,16.92,66.79,16.29,8.39,49.7,18.45,0,15.63,7.83
6001408000,4.80,2.74,1-5% (lowest scores),Alameda ,2700,6.19,74.04,19.78,12.48,54.67,9.26,0.44,18.55,4.59
6001408100,13.61,21.99,20-25%,Alameda ,6320,8.53,68.66,22.82,10.06,40.05,23.83,0,20.36,5.7
6001408200,23.29,45.12,45-50%,Alameda ,4570,9.34,79.43,11.23,15.6,18.25,51.42,0.77,5.87,8.1
6001408300,31.39,61.31,60-65%,Alameda ,5047,11.55,77.43,11.02,21.93,22.51,37.19,0.12,12.88,5.37
6001408400,27.63,54.16,50-55%,Alameda ,3201,12.4,78.01,9.59,37.8,7.44,50.3,0,1.87,2.59
6001408500,32.68,63.57,60-65%,Alameda ,5977,20.28,72.66,7.06,53.61,2.41,36.82,0.02,4.1,3.05
6001408600,34.61,66.94,65-70%,Alameda ,7096,21.1,70.45,8.46,52.35,3.31,35.19,0.27,4.26,4.62
6001408700,33.17,64.38,60-65%,Alameda ,7909,14.49,73.23,12.28,45.08,8.38,41.88,0,2.29,2.38
6001408800,61.01,96.24,95-100% (highest scores),Alameda ,7149,20.74,70.26,8.99,46.64,5.41,38.02,0,9.36,0.57
6001408900,52.21,90.27,90-95%,Alameda ,3546,16.02,75.21,8.77,65.93,4.94,21.4,0,5.56,2.17
6001409000,63.17,97.18,95-100% (highest scores),Alameda ,4687,18.33,72.97,8.7,53.53,2.01,34.95,0,4.85,4.67
6001409100,57.14,94.00,90-95%,Alameda ,2490,13.82,77.67,8.51,59.24,1.97,27.87,0.72,4.38,5.82
6001409200,46.20,83.48,80-85%,Alameda ,3672,12.25,80.17,7.57,57.03,2.53,30.96,0,6.54,2.94
6001409300,36.59,70.01,70-75%,Alameda ,5303,17.01,72.94,10.05,65.17,4.79,24.61,0,3.3,2.13
6001409400,50.37,88.29,85-90%,Alameda ,4780,17.3,76.21,6.49,69.6,4.52,15.23,0,9.58,1.07
6001409500,53.65,91.41,90-95%,Alameda ,4128,18.1,73.69,8.21,64.87,4.19,25,0.12,3.68,2.13
6001409600,32.30,62.92,60-65%,Alameda ,4978,13.46,78.75,7.79,57.01,3.19,32.6,0.22,5.4,1.57
6001409700,21.77,41.68,40-45%,Alameda ,4991,16.83,76,7.17,57.7,3.55,32.02,0,2.22,4.51
6001409800,30.41,59.51,55-60%,Alameda ,3516,10.49,74.8,14.7,12.51,20.39,55.29,0.28,4.27,7.25
6001409900,23.07,44.70,40-45%,Alameda ,3642,12.05,65.95,21.99,8.1,28.72,47.09,0,7.28,8.81
6001410000,25.12,48.97,45-50%,Alameda ,3242,10.83,64.47,24.71,9.25,28.84,40.13,0.25,5.76,15.76
6001410100,31.17,60.99,60-65%,Alameda ,2667,13.69,73.23,13.09,17.55,12.37,55.46,0,5.36,9.26
6001410200,26.95,52.92,50-55%,Alameda ,3630,13.22,76.14,10.63,35.23,1.46,55.1,0.85,5.24,2.12
6001410300,28.62,56.16,55-60%,Alameda ,3857,16.75,77.39,5.86,65.52,2.15,24.86,0.47,4.46,2.54
6001410400,28.06,55.13,55-60%,Alameda ,4477,11.32,77.06,11.61,47.71,6.39,33.62,0.27,10.1,1.92
6001410500,53.08,90.94,90-95%,Alameda ,2705,16.67,75.6,7.73,9.83,14.9,61.07,0.26,11.76,2.18
6001420100,6.52,5.80,5-10%,Alameda ,2440,11.6,74.39,14.02,7.87,61.72,0.45,0.41,20.98,8.57
6001420200,10.87,15.18,15-20%,Alameda ,3332,12.12,75.24,12.64,12.06,35.5,5.58,0.54,38.39,7.92
6001420300,16.07,28.08,25-30%,Alameda ,4977,13.58,74.06,12.36,15.69,29.78,3.94,1.21,40.96,8.42
6001420400,23.88,46.44,45-50%,Alameda ,3062,22.53,76.06,1.4,29.78,31.71,1.21,0.36,30.96,5.98
6001420500,21.69,41.49,40-45%,Alameda ,2557,13.34,74.03,12.63,11.18,51.15,5.4,1.06,21.12,10.09
6001420600,3.81,1.21,1-5% (lowest scores),Alameda ,3436,10.71,70.95,18.34,11.64,66.44,0.35,0,15.16,6.4
6001421100,3.28,0.86,1-5% (lowest scores),Alameda ,2084,8.45,58.25,33.3,5.9,78.36,1.73,0,11.04,2.98
6001421200,3.41,0.98,1-5% (lowest scores),Alameda ,3594,10.55,56.54,32.92,4.12,72.87,1.34,0.11,10.13,11.44
6001421300,4.08,1.69,1-5% (lowest scores),Alameda ,3873,10.92,59.7,29.38,3.67,78.65,1.5,0,8.99,7.2
6001421400,5.37,3.66,1-5% (lowest scores),Alameda ,1634,8.2,60.47,31.33,6.43,73.38,1.84,0.43,12.6,5.32
6001421500,4.32,2.07,1-5% (lowest scores),Alameda ,3694,8.07,65.32,26.61,4.74,77.77,2.57,0,12.05,2.87
6001421600,1.57,0.08,1-5% (lowest scores),Alameda ,3617,10.64,62.76,26.6,3.98,73.49,3.1,0,13.43,6
6001421700,10.85,15.13,15-20%,Alameda ,3492,9.05,71.88,19.07,9.25,68.24,0.66,0.14,18.07,3.64
6001421800,9.61,11.95,10-15%,Alameda ,2144,7.6,70.71,21.69,3.03,74.77,1.45,0.05,13.99,6.72
6001421900,15.88,27.53,25-30%,Alameda ,4171,12.68,70.18,17.14,10.67,56.22,5.35,0,17.94,9.83
6001422000,34.16,66.17,65-70%,Alameda ,2156,11.64,78.06,10.3,6.86,64.33,10.85,0,8.16,9.79
6001422100,27.31,53.61,50-55%,Alameda ,3073,8.07,79.11,12.82,20.89,47.02,12.82,0.81,12.2,6.25
6001422200,25.02,48.78,45-50%,Alameda ,3237,8.68,75.84,15.48,16.34,52.95,5.28,0,15.79,9.64
6001422300,17.64,31.93,30-35%,Alameda ,3643,9.36,74.33,16.31,8.81,60.17,2.88,0.16,21.36,6.62
6001422400,14.90,25.28,25-30%,Alameda ,4487,4.26,85.02,10.72,13.73,42.03,1.25,0,37.69,5.3
6001422500,14.16,23.44,20-25%,Alameda ,4400,4.07,88.41,7.52,9.89,47.34,2.86,0.23,33.95,5.73
6001422600,NA,NA,NA,Alameda ,1043,0,99.23,0.77,12.37,38.64,3.07,0,44.01,1.92
6001422700,15.07,25.72,25-30%,Alameda ,5266,0.42,97.04,2.54,16.56,45.4,2.39,0.89,29.36,5.39
6001422800,16.05,27.99,25-30%,Alameda ,9064,0,99.13,0.87,16.14,28.46,4.21,0.14,45.65,5.38
6001422900,19.18,35.60,35-40%,Alameda ,5761,0.47,93.42,6.11,5.26,33.97,11.99,0,44.73,4.04
6001423000,23.68,45.81,45-50%,Alameda ,4962,8.42,78.23,13.34,12.03,53.39,4.86,0.1,24.87,4.76
6001423100,29.82,58.33,55-60%,Alameda ,4413,8.52,76.52,14.96,12.92,49.6,16.61,0,15.11,5.76
6001423200,39.81,74.68,70-75%,Alameda ,2982,10.19,82.46,7.34,27.2,30.58,22.43,0,10.73,9.05
6001423300,31.60,61.62,60-65%,Alameda ,3504,14.04,67.52,18.44,12.56,44.41,25.49,0.09,9.5,7.96
6001423400,22.31,42.78,40-45%,Alameda ,5163,6.41,82.36,11.23,14.8,49.35,13.73,0,12.18,9.94
6001423500,15.43,26.49,25-30%,Alameda ,3426,10.25,70.17,19.59,14.21,47.52,20.2,0,13.72,4.35
6001423601,10.50,14.09,10-15%,Alameda ,2671,5.39,75.7,18.91,8.72,70.35,5.17,0.64,9.21,5.92
6001423602,14.24,23.65,20-25%,Alameda ,6528,1.32,93.15,5.53,8.75,47.29,1.29,1.52,35.78,5.38
6001423700,7.27,7.22,5-10%,Alameda ,4148,3.47,82.09,14.44,10.56,61.4,2.29,0.14,20.39,5.21
6001423800,4.73,2.58,1-5% (lowest scores),Alameda ,2986,7.27,62.86,29.87,6.36,79.44,2.38,0,7.07,4.76
6001423901,18.83,34.81,30-35%,Alameda ,2054,5.01,82.91,12.07,13.92,62.76,10.66,0.34,9.1,3.21
6001423902,11.02,15.54,15-20%,Alameda ,1605,9.41,73.52,17.07,5.98,70.72,2.93,0,15.45,4.92
6001424001,25.18,49.13,45-50%,Alameda ,4027,10.31,80.08,9.61,16.29,46.83,22.15,0.32,8.64,5.76
6001424002,32.14,62.64,60-65%,Alameda ,2583,12.93,75.03,12.04,22.69,27.37,33.6,0.54,10.34,5.46
6001425101,31.46,61.40,60-65%,Alameda ,1659,1.15,69.74,29.11,5.85,58.41,3.5,0.3,25.74,6.21
6001425102,26.69,52.42,50-55%,Alameda ,3906,6.99,86.43,6.58,8.99,34.02,8.32,0.2,41.78,6.68
6001425103,23.05,44.63,40-45%,Alameda ,2795,4.69,89.37,5.94,7.48,43.61,15.31,0.07,26.33,7.19
6001425104,28.53,55.95,55-60%,Alameda ,3539,7.8,74.65,17.55,13.62,36.08,26.59,0,18.46,5.26
6001426100,2.48,0.44,1-5% (lowest scores),Alameda ,6521,9.39,68.06,22.56,2.05,73.35,0.69,0,19.9,4
6001426200,10.66,14.55,10-15%,Alameda ,4796,10.49,69.47,20.04,7.01,67.6,2.29,0.08,15.2,7.82
6001427100,16.66,29.51,25-30%,Alameda ,3975,9.71,69.99,20.3,16.1,64.15,1.38,0.48,14.46,3.42
6001427200,34.06,65.91,65-70%,Alameda ,4180,11.34,73.09,15.57,16.79,40.05,2.92,0.29,35.9,4.04
6001427300,31.74,61.93,60-65%,Alameda ,5346,13.73,67.15,19.12,10.87,37.34,7.22,0.41,38.29,5.87
6001427600,36.08,69.28,65-70%,Alameda ,5200,14.27,77.77,7.96,10.27,28.52,18.75,0.08,35.48,6.9
6001427700,20.48,38.69,35-40%,Alameda ,5201,8.09,76.5,15.4,17.71,48.45,9.44,0.04,17.88,6.48
6001427800,17.64,31.92,30-35%,Alameda ,4954,10.56,74.38,15.06,9.87,53.88,4.76,0.12,21.7,9.67
6001427900,17.81,32.25,30-35%,Alameda ,5052,9.2,78.88,11.92,14.25,48.14,4.59,0.67,28.35,4
6001428000,28.54,55.98,55-60%,Alameda ,2877,7.4,79.91,12.69,23.39,36.29,5.32,0.1,27.15,7.75
6001428100,17.29,31.05,30-35%,Alameda ,4839,10.93,73.86,15.21,11.57,52.76,6.51,0,22.36,6.8
6001428200,17.98,32.73,30-35%,Alameda ,6606,11.87,69.63,18.5,12.82,51.79,6.27,0,21.57,7.55
6001428301,11.80,17.32,15-20%,Alameda ,7277,12.37,73.29,14.35,10.6,31.66,4.64,0.3,44.34,8.45
6001428302,10.97,15.38,15-20%,Alameda ,7424,12.96,66.69,20.35,6.45,41.69,2.61,0,42.9,6.34
6001428400,15.57,26.85,25-30%,Alameda ,4568,12.92,71.54,15.54,17.56,39.71,10.75,0.46,25.35,6.17
6001428500,14.72,24.84,20-25%,Alameda ,3097,10.91,72.36,16.73,12.82,41.14,7.94,1,27.58,9.53
6001428600,14.90,25.26,25-30%,Alameda ,3454,11.87,64.01,24.12,6.02,42.96,7.35,0.26,34.22,9.18
6001428700,41.60,77.47,75-80%,Alameda ,4472,17.62,73.95,8.43,16.26,27.42,16.82,0.42,32.67,6.42
6001430101,13.97,22.92,20-25%,Alameda ,6842,12.41,70.29,17.3,9.37,28.95,6.45,0.15,50.89,4.19
6001430102,2.02,0.25,1-5% (lowest scores),Alameda ,2424,9.28,69.18,21.53,12.29,57.84,1.69,0,20.05,8.13
6001430200,6.55,5.87,5-10%,Alameda ,6878,13.13,68.17,18.7,9.46,56.47,4.71,0.89,23.85,4.61
6001430300,8.03,8.56,5-10%,Alameda ,3826,12.28,69.58,18.14,13.12,55.85,1.12,0,25.64,4.26
6001430400,6.78,6.30,5-10%,Alameda ,2107,10.82,69.72,19.46,11.72,58.99,1.52,0,22.5,5.27
6001430500,28.80,56.54,55-60%,Alameda ,5987,13.23,74.58,12.19,19.22,29.33,24.85,0.77,21.92,3.91
6001430600,13.69,22.24,20-25%,Alameda ,6486,10.96,66.05,22.99,12.78,46.15,7.49,0.49,28.11,4.98
6001430700,10.83,15.07,15-20%,Alameda ,4170,14.22,73.07,12.71,15.8,50.14,4.87,0.43,21.1,7.65
6001430800,28.32,55.50,55-60%,Alameda ,5282,11.42,71.39,17.19,7.5,57.08,1.53,0.89,29.07,3.94
6001430900,27.66,54.22,50-55%,Alameda ,5309,17.07,68.56,14.37,21,42.12,9.68,0.85,19.13,7.21
6001431000,34.26,66.31,65-70%,Alameda ,2777,16.02,73.14,10.84,19.45,36.51,5.69,0.72,30.75,6.88
6001431100,19.73,36.83,35-40%,Alameda ,3561,11.99,78.66,9.35,30.36,31.9,17.05,0.14,13.09,7.47
6001431200,19.55,36.31,35-40%,Alameda ,5574,9.99,71.33,18.68,23.32,46.39,10.64,0,13.94,5.71
6001432100,21.68,41.48,40-45%,Alameda ,3574,9.57,72.02,18.41,17.8,45.13,11.56,0,20.39,5.12
6001432200,21.16,40.32,40-45%,Alameda ,4078,9.51,70.75,19.74,24.23,34.58,22.09,0.37,12.88,5.86
6001432300,27.49,53.92,50-55%,Alameda ,4744,8.87,80.73,10.39,33.05,19.08,11.42,0.34,30.06,6.05
6001432400,49.04,86.78,85-90%,Alameda ,7003,12.17,77.17,10.67,42.12,16.99,6.64,0,31.62,2.63
6001432501,49.49,87.36,85-90%,Alameda ,4854,10.24,75.44,14.32,29.77,16.98,7.29,0.12,42.3,3.54
6001432502,34.40,66.52,65-70%,Alameda ,5178,11.9,78.2,9.91,29.7,13.81,13.25,0.06,40.77,2.41
6001432600,36.29,69.54,65-70%,Alameda ,7043,10.32,73.26,16.41,30.34,25.43,14.62,0.7,25.64,3.27
6001432700,25.69,50.30,50-55%,Alameda ,2816,7.88,74.68,17.44,25.82,44,5.97,0.43,17.23,6.57
6001432800,19.89,37.24,35-40%,Alameda ,3979,10.4,63.23,26.36,21.36,29.35,10.35,0.15,33.73,5.05
6001433000,30.77,60.20,60-65%,Alameda ,3654,9.8,72.14,18.06,20.61,30.02,5.88,0.08,40.23,3.17
6001433102,27.37,53.71,50-55%,Alameda ,4485,13.11,71.24,15.65,36.16,11.17,8.63,0.11,41.34,2.59
6001433103,32.97,64.01,60-65%,Alameda ,3523,9.99,83.22,6.78,42.95,13.71,16.58,0.57,24.64,1.56
6001433104,31.38,61.28,60-65%,Alameda ,3724,10.23,70.54,19.23,29.86,28.49,21.78,0.64,12.11,7.12
6001433200,43.02,79.53,75-80%,Alameda ,7991,15.4,73.18,11.41,28.66,17.47,12.11,0.48,36.75,4.53
6001433300,39.63,74.36,70-75%,Alameda ,7761,9.26,74.53,16.21,23.45,26.66,0.27,0,47.01,2.6
6001433400,20.66,39.21,35-40%,Alameda ,5934,6.74,72.4,20.86,9.03,16.48,9.29,1.31,58.66,5.22
6001433500,22.43,43.12,40-45%,Alameda ,4830,11.47,72.88,15.65,22.67,26.46,4.22,0,46.64,0
6001433600,33.33,64.62,60-65%,Alameda ,6094,11.6,76.8,11.6,17.69,23.12,8.71,2,42.78,5.69
6001433700,31.92,62.27,60-65%,Alameda ,3503,11.3,83.44,5.25,57.49,13.05,5.31,0.74,18.7,4.71
6001433800,31.92,62.28,60-65%,Alameda ,8179,9.93,78.51,11.57,44.81,9.38,7.76,0.23,37.23,0.59
6001433900,36.09,69.29,65-70%,Alameda ,7685,15.84,77.62,6.55,40.62,10.72,22.32,0.09,17.25,8.99
6001434000,36.42,69.77,65-70%,Alameda ,5334,17.36,73.08,9.56,46.63,13.67,16.31,0.37,18.8,4.22
6001435102,8.35,9.28,5-10%,Alameda ,6189,6.4,79.95,13.65,29.44,27.53,13.96,0.53,23.33,5.2
6001435103,6.18,5.04,5-10%,Alameda ,7420,8.81,76.81,14.38,10.81,29.35,7.45,0,44.39,7.99
6001435104,32.39,63.15,60-65%,Alameda ,6117,15.11,75.66,9.24,38.56,14.34,11,0.36,28.04,7.7
6001435200,15.56,26.83,25-30%,Alameda ,4659,11.57,71.54,16.89,27.39,22.41,19.77,0.24,23.78,6.42
6001435300,19.53,36.27,35-40%,Alameda ,4739,7.55,79.76,12.68,27.12,25.03,23.13,0.15,21.27,3.31
6001435400,33.37,64.71,60-65%,Alameda ,4538,12.67,74.44,12.89,23.75,21.84,27.04,0.4,20.29,6.68
6001435500,38.54,72.93,70-75%,Alameda ,3983,9.04,76.8,14.16,41.43,29.1,11.45,0.5,14.58,2.94
6001435601,33.17,64.40,60-65%,Alameda ,5662,15.63,78.03,6.34,57.26,11.11,12.7,0.07,15.51,3.36
6001435602,22.31,42.76,40-45%,Alameda ,5453,13.11,75.9,10.98,56.89,23.88,6.64,0.11,11.21,1.28
6001435700,32.15,62.67,60-65%,Alameda ,5231,9.92,74.4,15.68,47.47,21.33,11.36,0.1,16.99,2.75
6001435800,26.14,51.22,50-55%,Alameda ,5543,11.6,76.71,11.69,43.12,22.61,1.23,0,27.91,5.14
